check_id	severity	status	metric_name	metric_value	threshold	sample_json
C01_game_team_count_exactly_two	critical	pass	match_ids_with_team_count_not_2	0	0	[]
C02_match_id_row_count_expected_3v3	critical	fail	match_ids_with_row_count_not_6	1	0	[{"match_id": "20230210-172301-2022-23-Winter-Cup-Groups-1-G3", "row_count": 4, "team_count": 2}]
C03_team_rows_per_match_expected_three	critical	fail	match_team_groups_with_row_count_not_3	1	0	[{"team": "MYTHICX ESPORTS", "match_id": "20230210-172301-2022-23-Winter-Cup-Groups-1-G3", "row_count": 1}]
C04_player_uniqueness_within_match_team	critical	fail	match_team_groups_with_player_identity_issues	1	0	[{"team": "MYTHICX ESPORTS", "match_id": "20230210-172301-2022-23-Winter-Cup-Groups-1-G3", "distinct_players": 1, "null_player_rows": 0, "duplicate_player_rows": 0}]
C05_exactly_one_winning_team_per_match	critical	pass	two_team_matches_with_winner_count_not_1	0	0	[]
C06_team_level_victory_consistency	critical	pass	match_team_groups_with_mixed_victory_flags	0	0	[]
C07_victory_vs_goals_consistency_non_tied	critical	pass	non_tied_two_team_matches_where_goal_winner_differs_from_victory_winner	0	0	[]
C08_series_best_of_consistency	critical	pass	derived_series_keys_with_conflicting_best_of	0	0	[]
C09_series_winner_threshold_coherence	critical	pass	derived_series_keys_with_impossible_winner_state	0	0	[]
C10_issue_A_match_id_collisions	critical	pass	match_ids_with_more_than_2_teams	0	0	[]
C11_issue_B_series_id_collision_risk	critical	pass	current_series_ids_with_more_than_2_teams	0	0	{"legacy_collisions": 92, "current_collisions": 0, "worst_legacy_team_count": 16, "worst_current_team_count": 2}
C12_issue_C_no_winner_matches	critical	pass	two_team_matches_with_zero_winners	0	0	[]
C13_issue_D_double_winner_matches	critical	pass	two_team_matches_with_more_than_one_winner	0	0	[]
C14_player_name_unique_id_consistency	critical	fail	player_names_with_multiple_unique_ids	2	0	[{"row_count": 129, "unique_ids": ["SSA-P-10148", "SSA-P-10177"], "player_name": "twnzr", "unique_id_count": 2}, {"row_count": 88, "unique_ids": ["SSA-P-10147", "SSA-P-10174"], "player_name": "lazybear", "unique_id_count": 2}]
C15_issue_F_single_team_matches	critical	pass	match_ids_with_single_team_only	0	0	[]
C16_series_id_best_of_row_completeness	critical	fail	series_ids_with_best_of_shape_or_row_count_issues	6	0	[{"best_of": 5, "bad_games": [], "row_count": 12, "series_id": "240a74d87a25eb31cb042452d5f8a29f", "game_count": 2, "team_count": 2, "match_count": 2, "game_numbers": [1, 2], "best_of_variants": 1, "min_required_games": 3, "null_game_number_rows": 0, "games_with_bad_row_count": 0}, {"best_of": 5, "bad_games": [], "row_count": 12, "series_id": "a7429661deac1f2e9fe47ebc2478e977", "game_count": 2, "team_count": 2, "match_count": 2, "game_numbers": [1, 2], "best_of_variants": 1, "min_required_games": 3, "null_game_number_rows": 0, "games_with_bad_row_count": 0}, {"best_of": 5, "bad_games": [], "row_count": 6, "series_id": "c71695b54ee69bc674c141fc5c7e2881", "game_count": 1, "team_count": 2, "match_count": 1, "game_numbers": [1], "best_of_variants": 1, "min_required_games": 3, "null_game_number_rows": 0, "games_with_bad_row_count": 0}, {"best_of": 5, "bad_games": [], "row_count": 12, "series_id": "c92e36048114b9a5d80f40f25fcd380c", "game_count": 2, "team_count": 2, "match_count": 2, "game_numbers": [1, 2], "best_of_variants": 1, "min_required_games": 3, "null_game_number_rows": 0, "games_with_bad_row_count": 0}, {"best_of": 5, "bad_games": [{"row_count": 4, "game_number": 3, "match_count": 1}], "row_count": 16, "series_id": "cec425b7f5c2719f3dab08823078c5d3", "game_count": 3, "team_count": 2, "match_count": 3, "game_numbers": [1, 2, 3], "best_of_variants": 1, "min_required_games": 3, "null_game_number_rows": 0, "games_with_bad_row_count": 1}, {"best_of": 5, "bad_games": [], "row_count": 12, "series_id": "f280394ff670e0033315127c35c9f27e", "game_count": 2, "team_count": 2, "match_count": 2, "game_numbers": [1, 2], "best_of_variants": 1, "min_required_games": 3, "null_game_number_rows": 0, "games_with_bad_row_count": 0}]
C17_playoff_missing_followup_series_after_latest_win	critical	fail	playoff_teams_with_latest_series_win_but_no_recorded_followup	1	0	[{"team": "LIMITLESS", "split": "Major 1", "season": "2024", "regional": "Open Qualifier 1", "latest_round": "QF", "latest_series_id": "528d2998b536a299885741c22c5e7769", "latest_series_date": "2024-03-02T17:03:00+00:00", "latest_series_game_wins": 12}]
C18_playoff_bracket_depth_date_conflict	critical	fail	playoff_series_pairs_where_deeper_round_precedes_shallower_round	4	0	[{"team": "LIMITLESS", "split": "Major 1", "season": "2024", "regional": "Open Qualifier 1", "deep_date": "2024-02-04T17:55:24+00:00", "deep_round": "SF", "shallow_date": "2024-03-02T17:03:00+00:00", "shallow_round": "QF", "deep_series_id": "39c5880aca61eb5161c0e9ed50b00b2f", "shallow_series_id": "528d2998b536a299885741c22c5e7769"}, {"team": "LIMITLESS", "split": "Major 1", "season": "2024", "regional": "Open Qualifier 1", "deep_date": "2024-02-04T18:52:25+00:00", "deep_round": "GF", "shallow_date": "2024-03-02T17:03:00+00:00", "shallow_round": "QF", "deep_series_id": "4b4ca7f830e43e8803ccd00ac7ff6a68", "shallow_series_id": "528d2998b536a299885741c22c5e7769"}, {"team": "YOUNG MONEY CLAN", "split": "Major 1", "season": "2024", "regional": "Open Qualifier 1", "deep_date": "2024-02-04T18:52:25+00:00", "deep_round": "GF", "shallow_date": "2024-03-02T17:03:00+00:00", "shallow_round": "QF", "deep_series_id": "4b4ca7f830e43e8803ccd00ac7ff6a68", "shallow_series_id": "528d2998b536a299885741c22c5e7769"}, {"team": "YOUNG MONEY CLAN", "split": "Major 1", "season": "2024", "regional": "Open Qualifier 1", "deep_date": "2024-02-04T17:58:00+00:00", "deep_round": "SF", "shallow_date": "2024-03-02T17:03:00+00:00", "shallow_round": "QF", "deep_series_id": "665968759df2dbdb38e9dda585c3142a", "shallow_series_id": "528d2998b536a299885741c22c5e7769"}]
C19_match_ids_with_missing_series_id_rows	critical	pass	match_ids_with_null_or_blank_series_id_rows	0	0	[]
W14_issue_E_fractional_counts_non_ot	warning	pass	player_rows_with_fractional_count_stats_in_non_ot	0	0	[]
W16_dimensional_whitespace_variants	warning	pass	dimensions_with_outer_whitespace_variants	0	0	[]
W17_case_variants_team_names	warning	pass	canonical_team_keys_with_case_variants	0	0	[]
(22 rows)
